Rep,Treat,SPP,Clone,Row,Col,ID #,1997_Height,1997_Diam,1998_Height,1998_Diam,1999_Height,1999_Diam,2000_Height,2000_Diam,2001_Height,2001_Diam@3cm,2001_Diam@10cm,2002_Height,2002_Diam,2003_Height,2003_Diam@10cm,2003_DBH,2004_Height,2004_Diam@10cm,2004_DBH,2005_Height,2005_Diam@10cm,2005_DBH,2006_Height,2006_DBH,2007_Height,2007_DBH,2008_Height,2008_DBH,Notes,Comment1,Comment2,Comment3
1,1,B,B,L,14,4360,51,0.45,105,1.177,224,2.84,255,2.75,305,3.45,3.19,382,3.66,427,3.79,1.48,480,4,2.65,509,4.2,2.87,533,3,615,3.21,632,3.31,,,,
1,1,A,216,L,13,4359,58,0.76,210,2.863,254,5.63,296,5.63,395,6.15,5.61,469,5.86,490,6.62,4.41,500,6.8,4.6,588,6.9,4.79,612,4.9,669,5.05,742,5.15,,,,
1,1,B,B,L,12,4358,24,0.31,112,1.615,262,3.9,328,4.25,415,5.8,5.4,513,5.89,557,6.37,4,630,6.8,4.47,688,7.5,5.04,717,5.5,859,6.80,916,7.17,06:SA ,,,
1,1,A,216,L,11,4357,58,0.64,216,2.523,270,5.04,319,5.39,524,5.55,5.3,575,5.89,714,6.56,,766,7.00,5.34,746,7.40,5.83,808,6.25,862,7.00,981,7.55,,,,
1,1,B,B,L,10,4356,41,0.58,162,2.733,280,4.94,364,6.03,459,7.21,6.25,540,7.38,590,8.80,,680,8.80,5.02,697,8.10,5.47,730,5.9,847,6.65,914,7.13,00: Dead?; 01: Growing,,,
1,1,A,259,L,9,4355,43.5,0.71,153,2.175,211,3.7,274,4.04,293,4.3,3.88,324,3.98,376,4.11,,425,4.30,2.61,431,4.20,2.58,447,2.7,449,2.68,452,2.73,"A misplant 216, actually 259; ",,,
1,1,B,B,L,8,4354,49,0.53,189,2.265,359,5.47,451,5.80,476,7.53,6.14,667,6.59,616,7.45,,700,7.90,5.18,684,8.50,5.54,733,5.8,760,6.01,830,6.3,02: Bent by scaffold; 03: measured twice,2003_Height: VQ: Changed from 613 to 616 - remeasure. 5-5-4,,
1,1,A,216,L,7,4353,30,0.45,197,2.485,215,4.05,277,4.18,379,4.79,4.44,389,4.77,,,,490,5.00,3.29,,,3.25,,,,,,,03: Dead?; 04: Alive; 05: Dead,,,
1,1,B,B,L,6,4352,43,0.44,149,1.872,283,4.16,365,5.13,468,6.49,6.1,555,6.72,609,5.19,,670,7.80,5.28,766.00,8.30,5.72,785,6.05,,,,,07:harvested  ,,,
1,1,A,216,M,6,4366,9,0.2,64,0.888,85,1.48,116,1.55,134,1.53,1.41,,,,,,,,,,,,,,,,,,02:  Dead,,,
1,1,B,B,M,7,4367,47,0.61,154,2.523,260,4.52,366,5.73,423,7.06,6.48,543,6.94,578,7.51,4.35,645,7.80,5.26,709,8.20,5.48,750,5.85,857,6.50,888,7.1,,,,
1,1,A,216,M,8,4368,11,0.22,62,0.743,125,1.43,165,1.60,180,1.73,1.8,178,1.64,172,1.69,0.56,180,1.70,0.52,180,1.7,,,,,,,,02: Dead? 03: Tree growing; Ht measured 2x 06:dead,2002_Diam: measured,,
1,1,B,B,M,9,4369,34,0.48,170,2.106,349,4.98,463,5.81,493,6.88,6.24,571,7.00,652,7.45,4.73,700,7.90,5.14,785,8.40,5.63,808,6.2,813,7.00,828,7.5,08: Hgt remeasured,,,
1,1,A,259,M,10,4370,54,0.82,206,2.654,270,4.23,358,4.73,459,4.96,4.72,535,4.93,596,5.25,4.05,610,5.60,4.41,657,6,4.65,688,4.95,867,5.22,1020,5.42,"A misplant 216, actually 259; 08: Hgt remeasured",,,
1,1,B,B,M,11,4371,38,0.44,111,1.254,207,2.72,263,3.49,291,3.85,3.5,342,3.63,375,3.73,2.17,405,3.90,2.32,421,4.10,2.52,449,2.65,471,8.00,491,2.9,03: Dead?; 04: Growing;  Remeasured 07Dia 5-15-08 BAB,,,
1,1,A,216,M,12,4372,50,0.65,182,2.295,242,3.98,286,4.28,442,4.82,4.52,496,4.93,634,5.57,3.81,655,5.80,5.20,717,6.2,4.78,755,5.2,823,5.81,973,6.3,,,,
1,1,B,B,M,13,4373,51,0.4,145,1.477,210,2.37,292,2.89,391,3.4,3.24,460,3.57,504,3.76,2.7,545,3.90,2.91,587,4.10,3.11,602,3.3,640,3.81,675,3.99,,,,
1,1,A,216,M,14,4374,26,0.42,123,1.412,200,2.54,242,2.72,267,3.03,2.92,283,2.96,301,3.09,2,335,3.10,2.08,322,3.1,2.10,,,,,,,06:dead  ,,,
1,1,B,B,N,14,4388,41.5,0.54,108,1.367,127,1.77,201,2.01,242,2.59,2.2,290,2.36,313,2.52,1.34,345,2.50,1.42,373,2.50,1.51,384,1.6,400,1.70,443,1.65,,,,
1,1,A,216,N,13,4387,50.5,0.74,204,2.81,236,4.3,273,4.15,345,4.6,4.3,408,4.52,561,4.90,3.53,585,5.10,3.77,611,5.3,4.00,675,4.25,744,4.50,840,4.69,,,,
1,1,B,B,N,12,4386,51,0.45,179,1.99,287,4.79,374,5.08,435,6,5.4,528,5.95,539,5.99,3.83,565,6.20,4.13,609,6.50,4.36,677,4.58,759,5.30,830,5.35,06:SA ,,,
1,1,A,216,N,11,4385,39,0.61,152,1.737,225,3.54,321,3.90,413,4.2,3.9,470,4.27,572,4.52,3.45,555,4.80,3.67,617,5,3.91,703,4.2,806,4.55,871,4.83,03: Ht lrg04: Ht measured 2x  ,,,
1,1,B,B,N,10,4384,29,0.5,138,1.706,281,3.52,335,4.28,385,5.2,4.6,477,5.06,504,5.32,3.62,530,5.50,3.83,575,5.70,4.06,620,4.5,663,4.40,765,4.5,06:SA ,,,
1,1,A,259,N,9,4383,46,0.82,171,2.385,247,4.18,295,4.47,371,4.7,4.5,460,4.68,513,5.06,3.9,570,5.40,4.23,592,5.6,4.49,644,4.75,782,5.10,856,5.33,"A misplant 216, actually 259; 08: Hgt remeasured",,,
