"","Rep","Treat","Clone","E.Clone","Row","Col","ID","sap_init_height","sap_init_diam","sap_final_height","sap_final_diam","tree_final_height","tree_final_DBH","height_growth","diam_growth"
"2","1","1","216","","17","B","44",45,0.54,81,0.9,1225,9.55,1224.1,8.65
"3","1","1","8L","","16","B","43",17,0.21,14,0.25,334,2,333.75,1.75
"4","1","1","216","E216","15","B","42",30,0.49,45,0.78,1079,9,1078.22,8.22
"5","1","1","216","","15","C","54",28,0.29,52,0.75,370,3.11,369.25,2.36
"6","1","1","271","","16","C","55",46,0.41,68,0.67,859,6.35,858.33,5.68
"7","1","1","271","","17","C","56",43,0.44,54,0.74,818,4.6,817.26,3.86
"10","1","1","271","E271","20","C","59",19,0.22,20,0.37,268,1.42,267.63,1.05
"12","1","1","271","E271","22","D","73",24,0.4,74,0.85,1104,9.4,1103.15,8.55
"13","1","1","271","","21","D","72",31,0.3,76,0.65,1106,7.9,1105.35,7.25
"16","1","1","216","","18","D","69",45,0.45,69,0.75,1099,6.81,1098.25,6.06
"17","1","1","271","","17","D","68",45,0.45,74,0.77,1057,6.89,1056.23,6.12
"18","1","1","271","","16","D","67",33,0.38,56,0.62,1094,7.52,1093.38,6.9
"19","1","1","216","","15","D","66",30,0.32,31,0.66,1100,7.73,1099.34,7.07
"20","1","1","8L","","15","E","79",23,0.22,32,0.44,1032,8.68,1031.56,8.24
"21","1","1","271","","16","E","80",33,0.31,60,0.6,1029,7.28,1028.4,6.68
"22","1","1","216","","17","E","81",30,0.44,40,0.62,782,4.63,781.38,4.01
"23","1","1","216","","18","E","82",48,0.5,82,0.87,519,4.48,518.13,3.61
"26","1","1","42E","","21","E","85",18,0.18,17,0.27,1065,7.69,1064.73,7.42
"27","1","1","216","E216","22","E","86",19,0.2,53,0.61,949,6.67,948.39,6.06
"30","1","1","216","E216","22","F","100",20,0.28,56,0.72,796,5.74,795.28,5.02
"34","1","1","271","E271","18","F","96",26,0.43,40,0.89,1056,7.73,1055.11,6.84
"35","1","1","216","","17","F","95",27,0.33,50,0.58,422,2.99,421.42,2.41
"36","1","1","271","","16","F","94",24,0.25,52,0.52,831,5.5,830.48,4.98
"37","1","1","8L","","15","F","93",36,0.44,41,0.59,1190,9.45,1189.41,8.86
"38","1","1","259","","15","G","107",19,0.3,31,0.61,378,2.7,377.39,2.09
"39","1","1","42E","","16","G","108",26,0.23,33,0.4,1265,11.59,1264.6,11.19
"40","1","1","216","","17","G","109",31,0.34,73,0.8,1075,8.23,1074.2,7.43
"41","1","1","271","E271","18","G","110",25,0.28,34,0.53,794,3.76,793.47,3.23
"42","1","1","216","","19","G","111",47,0.47,88,0.8,1009,6.41,1008.2,5.61
"43","1","1","216","E216","20","G","112",28,0.38,53,0.8,1040,5.86,1039.2,5.06
"46","1","1","271","E271","23","G","115",35,0.49,99,0.95,1066,8.3,1065.05,7.35
"48","1","1","271","E271","23","H","129",34,0.36,77,0.88,1102,8.25,1101.12,7.37
"50","1","1","8L","","21","H","127",24,0.25,26,0.32,733,4.5,732.68,4.18
"52","1","1","216","","19","H","125",35,0.42,38,0.64,701,3.5,700.36,2.86
"53","1","1","271","","18","H","124",27,0.25,48,0.47,1058,6.15,1057.53,5.68
"54","1","1","216","","17","H","123",22,0.35,20,0.55,501,3.25,500.45,2.7
"55","1","1","42E","","16","H","122",26,0.27,25,0.31,725,4.36,724.69,4.05
"56","1","1","259","","15","H","121",25,0.39,38,0.75,472,3.72,471.25,2.97
"57","1","1","271","E271","15","I","136",28,0.36,51,0.71,1059,8.48,1058.29,7.77
"58","1","1","42E","","16","I","137",20,0.22,21,0.29,999,5.52,998.71,5.23
"59","1","1","216","E216","17","I","138",37,0.35,61,0.75,1070,6.55,1069.25,5.8
"60","1","1","271","","18","I","139",36,0.35,57,0.65,929,6.09,928.35,5.44
"61","1","1","271","","19","I","140",22,0.27,42,0.5,916,5.44,915.5,4.94
"62","1","1","8L","","20","I","141",27,0.35,33,0.43,532,2.92,531.57,2.49
"64","1","1","216","E216","22","I","143",28,0.37,45,0.62,996,6.52,995.38,5.9
"65","1","1","216","E216","23","I","144",27,0.35,46,0.73,1000,7.1,999.27,6.37
"66","1","1","216","","24","I","145",32,0.36,33,0.55,934,5.81,933.45,5.26
"69","1","1","216","E216","22","J","158",31,0.34,31,0.5,766,4.2,765.5,3.7
"71","1","1","8L","","20","J","156",22,0.27,22,0.27,492,2.65,491.73,2.38
"72","1","1","271","","19","J","155",27,0.28,64,0.65,1054,7.1,1053.35,6.45
"73","1","1","8L","","18","J","154",31,0.33,38,0.58,1050,7.8,1049.42,7.22
"74","1","1","216","E216","17","J","153",30,0.52,46,0.89,885,5.25,884.11,4.36
"75","1","1","42E","","16","J","152",31,0.34,30,0.38,829,4.1,828.62,3.72
"76","1","1","271","E271","15","J","151",25,0.42,52,0.73,1054,8.88,1053.27,8.15
"77","1","1","271","E271","15","K","166",30,0.37,31,0.53,788,4.3,787.47,3.77
"78","1","1","259","","16","K","167",23,0.34,34,0.67,507,3.12,506.33,2.45
"79","1","1","271","E271","17","K","168",26,0.29,41,0.65,500,5.6,499.35,4.95
"80","1","1","8L","","18","K","169",28,0.3,38,0.67,1064,9.05,1063.33,8.38
"83","1","1","271","","21","K","172",23,0.24,26,0.38,356,1.8,355.62,1.42
"84","1","1","271","","22","K","173",48,0.4,85,0.96,786,6.7,785.04,5.74
"85","1","1","259","","23","K","174",26,0.3,47,0.66,397,2.32,396.34,1.66
"89","1","1","271","","22","L","188",57,0.44,70,0.84,1126,8.8,1125.16,7.96
"90","1","1","271","","21","L","187",34,0.35,59,0.55,1101,7.5,1100.45,6.95
"91","1","1","259","","20","L","186",23,0.26,42,0.69,424,3,423.31,2.31
"93","1","1","42E","","18","L","184",34,0.38,47,0.62,1202,9.95,1201.38,9.33
"94","1","1","271","E271","17","L","183",27,0.34,56,0.73,1122,7.55,1121.27,6.82
"96","1","1","271","E271","15","L","181",25,0.39,46,0.7,1006,6.75,1005.3,6.05
"97","1","1","8L","","15","M","196",42,0.45,46,0.63,1204,11.65,1203.37,11.02
"98","1","1","42E","","16","M","197",49,0.49,51,0.65,1104,10.2,1103.35,9.55
"99","1","1","216","","17","M","198",43,0.47,74,0.93,531,3.82,530.07,2.89
"100","1","1","42E","","18","M","199",56,0.54,58,0.66,1305,11.8,1304.34,11.14
"101","1","1","216","","19","M","200",40,0.44,78,0.77,706,4.75,705.23,3.98
"104","1","1","271","","22","M","203",17,0.21,30,0.42,653,3.54,652.58,3.12
"105","1","1","216","E216","23","M","204",26,0.33,65,0.81,924,7.2,923.19,6.39
"106","1","1","216","E216","23","N","218",25,0.37,59,0.73,1108,7.25,1107.27,6.52
"107","1","1","271","","22","N","217",39,0.35,63,0.7,1018,6.6,1017.3,5.9
"108","1","1","271","E271","21","N","216",29,0.45,45,0.94,1034,7.35,1033.06,6.41
"109","1","1","216","E216","20","N","215",25,0.34,40,0.73,644,4.4,643.27,3.67
"110","1","1","216","","19","N","214",42,0.42,41,0.65,526,2.8,525.35,2.15
"112","1","1","216","","17","N","212",40,0.37,43,0.59,810,4.6,809.41,4.01
"113","1","1","42E","","16","N","211",60,0.54,64,0.74,1214,10.2,1213.26,9.46
"114","1","1","8L","","15","N","210",52,0.53,70,0.82,1171,10.4,1170.18,9.58
"118","1","1","216","E216","18","O","227",25,0.42,57,0.82,960,6.49,959.18,5.67
"121","1","1","271","","21","O","230",38,0.34,61,0.71,1059,7.5,1058.29,6.79
"122","1","1","216","E216","22","O","231",22,0.29,47,0.61,556,3.55,555.39,2.94
"123","1","1","216","E216","23","O","232",24,0.31,60,0.9,851,5.01,850.1,4.11
"126","1","1","271","","21","P","244",26,0.28,48,0.56,978,5.4,977.44,4.84
"130","1","1","216","","17","P","240",32,0.31,55,0.75,1192,7.8,1191.25,7.05
"133","1","1","8L","","15","Q","252",43,0.42,53,0.6,1131,7.9,1130.4,7.3
"134","1","1","271","","16","Q","253",34,0.33,59,0.55,1018,7.3,1017.45,6.75
